tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,animal-comments,animal-life-stage,animal-reproductive-condition,animal-sex,attachment-type,deployment-end-comments,deployment-end-type,deployment-id,duty-cycle,manipulation-type,study-site,tag-manufacturer-name,tag-model,tag-readout-method
166780,IdCoy_P2_6,Canis latrans,2004-12-27 00:00:00.000,2005-02-07 23:59:00.000,Pack 02,,, ,collar,,removal,166780_Winter,5-min fixes,none,Idaho National Engineering Laboratory,Lotek,N/A,tag-retrieval
166716,IdCoy_P5_2,Canis latrans,2004-12-27 00:00:00.000,2005-02-06 23:59:00.000,Pack 05,,, ,collar,,removal,166716_Winter,5-min fixes,none,Idaho National Engineering Laboratory,Lotek,N/A,tag-retrieval
166540,IdCoy_P2_1,Canis latrans,2004-12-27 00:00:00.000,2005-02-04 23:59:00.000,Pack 02,,, ,collar,,removal,166540_Winter,5-min fixes,none,Idaho National Engineering Laboratory,Lotek,N/A,tag-retrieval
166560,IdCoy_P1_2,Canis latrans,2004-12-27 00:00:00.000,2005-02-09 23:59:00.000,Pack 01,,, ,collar,,removal,166560_Winter,5-min fixes,none,Idaho National Engineering Laboratory,Lotek,N/A,tag-retrieval
166520,IdCoy_P1_1,Canis latrans,2004-12-27 00:00:00.000,2005-02-09 23:59:00.000,Pack 01,,, ,collar,,removal,166520_Winter,5-min fixes,none,Idaho National Engineering Laboratory,Lotek,N/A,tag-retrieval
166760,IdCoy_P3_1,Canis latrans,2004-12-27 00:00:00.000,2005-02-04 23:59:00.000,Pack 03,,, ,collar,,removal,166760_Winter,5-min fixes,none,Idaho National Engineering Laboratory,Lotek,N/A,tag-retrieval
166660,IdCoy_P4_2,Canis latrans,2004-12-27 00:00:00.000,2005-02-11 23:59:00.000,Pack 04,,, ,collar,,removal,166660_Winter,5-min fixes,none,Idaho National Engineering Laboratory,Lotek,N/A,tag-retrieval
166590,IdCoy_P2_3,Canis latrans,2004-12-27 00:00:00.000,2005-02-05 23:59:00.000,Pack 02,,, ,collar,,removal,166590_Winter,5-min fixes,none,Idaho National Engineering Laboratory,Lotek,N/A,tag-retrieval
166650,IdCoy_vagrant,Canis latrans,2005-05-06 00:00:00.000,2005-06-22 23:59:00.000,"vagrant, non-territorial",yearling,non-reproductive (non-resident),m,collar,,removal,166650_Summer,5-min fixes,none,Idaho National Engineering Laboratory,Lotek,N/A,tag-retrieval
166600,IdCoy_P4_1,Canis latrans,2005-05-06 00:00:00.000,2005-06-24 23:59:00.000,Pack 04,adult,reproductive,f,collar,,removal,166600_Summer,5-min fixes,none,Idaho National Engineering Laboratory,Lotek,N/A,tag-retrieval
166590,IdCoy_P2_4,Canis latrans,2005-05-06 00:00:00.000,2005-06-05 23:59:00.000,Pack 02,,,m,collar,,removal,166590_Summer,5-min fixes,none,Idaho National Engineering Laboratory,Lotek,N/A,tag-retrieval
166660,IdCoy_P5_1,Canis latrans,2005-05-06 00:00:00.000,2005-06-22 23:59:00.000,Pack 05,adult,reproductive,f,collar,,removal,166660_Summer,5-min fixes,none,Idaho National Engineering Laboratory,Lotek,N/A,tag-retrieval
166580,IdCoy_P2_2,Canis latrans,2005-05-06 00:00:00.000,2005-06-27 23:59:00.000,Pack 02,adult,reproductive,f,collar,,removal,166580_Summer,5-min fixes,none,Idaho National Engineering Laboratory,Lotek,N/A,tag-retrieval
166560,IdCoy_P3_1,Canis latrans,2005-05-06 00:00:00.000,2005-06-29 23:59:00.000,Pack 03,,, ,collar,,removal,166560_Summer,5-min fixes,none,Idaho National Engineering Laboratory,Lotek,N/A,tag-retrieval
166698,IdCoy_P6_1,Canis latrans,2005-05-06 00:00:00.000,2005-06-26 23:59:00.000,Pack 06,,, ,collar,,removal,166698_Summer,5-min fixes,none,Idaho National Engineering Laboratory,Lotek,N/A,tag-retrieval
166630,IdCoy_P2_5,Canis latrans,2005-05-06 00:00:00.000,2005-06-27 23:59:00.000,Pack 02,,,f,collar,,removal,166630_Summer,5-min fixes,none,Idaho National Engineering Laboratory,Lotek,N/A,tag-retrieval
C028,C028,Canis latrans,2013-06-14 00:00:00.000,2015-06-27 23:59:00.000,,adult,reproductive and rearing pups Mar-Aug,m,collar,Animal alive at the time of collar recovery.,removal,C028,"GPS: 6-h fixes end Sep-May, 3-h fixes June-Aug; activity: 5-min averages",none,"Monroe Mountain, Fishlake National Forest",Lotek,GPS6000,tag-retrieval
F53,F53,Puma concolor,2014-02-11 00:00:00.000,2014-11-05 23:59:00.000,,adult,reproductive w/1+ dependent cub,f,collar,Alive at the time of collar recovery.,removal,F53,GPS: 4-h fixes; activity: 5-min averages,none,"Monroe Mountain, Fishlake National Forest",Lotek,GPS3300S,tag-retrieval
F64,F64,Puma concolor,2014-02-12 00:00:00.000,2015-01-01 23:59:00.000,,adult,reproductive w/2 dependent cubs,f,collar,Alive following the recovery of the collar.,removal,F64,GPS: 4-h fixes; activity: 5-min averages,none,"Monroe Mountain, Fishlake National Forest",Lotek,GPS3300S,tag-retrieval
