event-id,visible,timestamp,location-long,location-lat,external-temperature,gps:dop,height-raw,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
9710323192,true,2014-06-01 03:01:27.000,-111.52653,56.711309,19.0,1.4,"386.08","gps","Canis lupus","15009","15009","ABoVE: Boutin Alberta Grey Wolf"
9710323193,true,2014-06-02 02:00:47.000,-111.529379,56.711081,19.0,1.4,"400.37","gps","Canis lupus","15009","15009","ABoVE: Boutin Alberta Grey Wolf"
9710323194,true,2014-06-03 01:01:33.000,-111.530399,56.710403,25.0,1.4,"379.32","gps","Canis lupus","15009","15009","ABoVE: Boutin Alberta Grey Wolf"
9710323195,true,2014-06-04 00:00:32.000,-111.534418,56.729792,25.0,1.2,"382","gps","Canis lupus","15009","15009","ABoVE: Boutin Alberta Grey Wolf"
9710323196,true,2014-06-04 23:00:53.000,-111.525893,56.713628,10.0,2.4,"363.65","gps","Canis lupus","15009","15009","ABoVE: Boutin Alberta Grey Wolf"
9710323197,true,2014-06-07 20:00:32.000,-111.607551,56.740896,24.0,1.6,"413.93","gps","Canis lupus","15009","15009","ABoVE: Boutin Alberta Grey Wolf"
9710323198,true,2014-06-09 18:00:33.000,-111.382461,56.661694,11.0,1.8,"374.77","gps","Canis lupus","15009","15009","ABoVE: Boutin Alberta Grey Wolf"
9710323199,true,2014-06-12 15:01:27.000,-111.589945,56.752961,12.0,1.8,"429.82","gps","Canis lupus","15009","15009","ABoVE: Boutin Alberta Grey Wolf"
9710323200,true,2014-06-13 14:01:33.000,-111.548428,56.753195,10.0,2.2,"405.5","gps","Canis lupus","15009","15009","ABoVE: Boutin Alberta Grey Wolf"
9710323201,true,2014-06-15 12:02:55.000,-111.549724,56.723814,8.0,3.4,"347.55","gps","Canis lupus","15009","15009","ABoVE: Boutin Alberta Grey Wolf"
9710323202,true,2014-06-16 11:02:35.000,-111.521242,56.71003,12.0,1.6,"249.89","gps","Canis lupus","15009","15009","ABoVE: Boutin Alberta Grey Wolf"
9710323203,true,2014-06-17 10:00:33.000,-111.525017,56.712819,16.0,1.2,"379.76","gps","Canis lupus","15009","15009","ABoVE: Boutin Alberta Grey Wolf"
9710323204,true,2014-06-19 08:00:57.000,-111.433406,56.695572,21.0,1.6,"386.17","gps","Canis lupus","15009","15009","ABoVE: Boutin Alberta Grey Wolf"
9710323205,true,2014-06-20 07:00:32.000,-111.367658,56.625554,26.0,1.4,"387.76","gps","Canis lupus","15009","15009","ABoVE: Boutin Alberta Grey Wolf"
9710323206,true,2014-06-23 04:02:34.000,-111.395927,56.699228,23.0,2.4,"281.38","gps","Canis lupus","15009","15009","ABoVE: Boutin Alberta Grey Wolf"
9710323207,true,2014-06-25 02:00:32.000,-111.526371,56.711045,25.0,1.6,"381.42","gps","Canis lupus","15009","15009","ABoVE: Boutin Alberta Grey Wolf"
9710323208,true,2014-06-27 23:00:32.000,-111.568946,56.701445,19.0,1.8,"496.16","gps","Canis lupus","15009","15009","ABoVE: Boutin Alberta Grey Wolf"
9710323209,true,2014-06-28 22:00:51.000,-111.527499,56.711346,26.0,2.4,"366.58","gps","Canis lupus","15009","15009","ABoVE: Boutin Alberta Grey Wolf"
9710323210,true,2014-07-07 13:01:03.000,-111.457145,56.696553,15.0,2.2,"254.58","gps","Canis lupus","15009","15009","ABoVE: Boutin Alberta Grey Wolf"
9710323211,true,2014-07-09 11:00:46.000,-111.548417,56.754041,25.0,2.8,"403.54","gps","Canis lupus","15009","15009","ABoVE: Boutin Alberta Grey Wolf"
9710323212,true,2014-07-10 10:01:29.000,-111.502279,56.721254,17.0,2.6,"381.57","gps","Canis lupus","15009","15009","ABoVE: Boutin Alberta Grey Wolf"
9710323213,true,2014-07-11 09:01:33.000,-111.530486,56.725633,14.0,2.2,"380.92","gps","Canis lupus","15009","15009","ABoVE: Boutin Alberta Grey Wolf"
9710323214,true,2014-07-12 08:01:57.000,-111.541912,56.731343,11.0,2.4,"383.48","gps","Canis lupus","15009","15009","ABoVE: Boutin Alberta Grey Wolf"
9710323215,true,2014-07-13 07:01:02.000,-111.495418,56.718203,12.0,2.6,"355.74","gps","Canis lupus","15009","15009","ABoVE: Boutin Alberta Grey Wolf"
9710323216,true,2014-07-14 06:00:52.000,-111.573762,56.708926,10.0,2.4,"325.87","gps","Canis lupus","15009","15009","ABoVE: Boutin Alberta Grey Wolf"
