event-id,visible,timestamp,location-long,location-lat,comments,eobs:temperature,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
1442760,true,2002-04-27 22:04:00.000,38.87065167,-3.78817667,"24.06",,"gps","Panthera leo","#346658","Romeo","Tsavo Lion Study"
1442761,true,2002-04-28 04:03:00.000,38.929925,-3.800805,"32.25",,"gps","Panthera leo","#346658","Romeo","Tsavo Lion Study"
1442762,true,2002-04-28 11:03:00.000,38.92913667,-3.80072667,"35.56",,"gps","Panthera leo","#346658","Romeo","Tsavo Lion Study"
1442763,true,2002-04-28 18:03:00.000,38.93245167,-3.80076167,"32.25",,"gps","Panthera leo","#346658","Romeo","Tsavo Lion Study"
1442764,true,2002-04-29 01:03:00.000,38.93510667,-3.80006167,"30.69",,"gps","Panthera leo","#346658","Romeo","Tsavo Lion Study"
1442765,true,2002-04-29 08:04:00.000,38.93576167,-3.79967667,"36.13",,"gps","Panthera leo","#346658","Romeo","Tsavo Lion Study"
1442766,true,2002-04-29 16:03:00.000,38.93766,-3.79953833,"29.56",,"gps","Panthera leo","#346658","Romeo","Tsavo Lion Study"
1442767,true,2002-04-29 22:03:00.000,38.941715,-3.79895333,"29.56",,"gps","Panthera leo","#346658","Romeo","Tsavo Lion Study"
1442768,true,2002-04-30 12:03:00.000,38.94081,-3.7843,"34.13",,"gps","Panthera leo","#346658","Romeo","Tsavo Lion Study"
1442769,true,2002-04-30 19:03:00.000,38.927025,-3.80612,"31.56",,"gps","Panthera leo","#346658","Romeo","Tsavo Lion Study"
1442770,true,2002-05-01 02:04:00.000,38.96854,-3.833285,"33.75",,"gps","Panthera leo","#346658","Romeo","Tsavo Lion Study"
1442771,true,2002-05-01 09:03:00.000,38.96850333,-3.83393833,"34.69",,"gps","Panthera leo","#346658","Romeo","Tsavo Lion Study"
1442772,true,2002-05-01 16:03:00.000,38.968305,-3.83456833,"33.5",,"gps","Panthera leo","#346658","Romeo","Tsavo Lion Study"
1442773,true,2002-05-01 23:02:00.000,38.96400833,-3.831845,"33.69",,"gps","Panthera leo","#346658","Romeo","Tsavo Lion Study"
1442774,true,2002-05-02 13:04:00.000,38.94022,-3.78441667,"32.31",,"gps","Panthera leo","#346658","Romeo","Tsavo Lion Study"
1442775,true,2002-05-02 20:03:00.000,38.93944833,-3.786425,"33.38",,"gps","Panthera leo","#346658","Romeo","Tsavo Lion Study"
1442776,true,2002-05-03 03:03:00.000,38.929425,-3.79931333,"35.31",,"gps","Panthera leo","#346658","Romeo","Tsavo Lion Study"
1442777,true,2002-05-03 10:04:00.000,38.929525,-3.79924667,"36.44",,"gps","Panthera leo","#346658","Romeo","Tsavo Lion Study"
1442778,true,2002-05-03 17:03:00.000,38.927955,-3.79923333,"33.38",,"gps","Panthera leo","#346658","Romeo","Tsavo Lion Study"
1442779,true,2002-05-04 00:03:00.000,38.94084833,-3.78453333,"31.13",,"gps","Panthera leo","#346658","Romeo","Tsavo Lion Study"
1442780,true,2002-05-04 14:03:00.000,38.89106667,-3.786235,"33",,"gps","Panthera leo","#346658","Romeo","Tsavo Lion Study"
1442781,true,2002-05-04 21:03:00.000,38.89812833,-3.79077,"30.31",,"gps","Panthera leo","#346658","Romeo","Tsavo Lion Study"
1442782,true,2002-05-05 04:04:00.000,38.93491,-3.87698,"35.38",,"gps","Panthera leo","#346658","Romeo","Tsavo Lion Study"
1442783,true,2002-05-05 11:03:00.000,38.93485333,-3.87709167,"33.38",,"gps","Panthera leo","#346658","Romeo","Tsavo Lion Study"
1442784,true,2002-05-05 19:03:00.000,38.95076667,-3.80174167,"32.19",,"gps","Panthera leo","#346658","Romeo","Tsavo Lion Study"
1442785,true,2002-05-06 08:03:00.000,38.93952167,-3.82615667,"35.31",,"gps","Panthera leo","#346658","Romeo","Tsavo Lion Study"
1442786,true,2002-05-06 15:03:00.000,38.93964167,-3.8258,"34.25",,"gps","Panthera leo","#346658","Romeo","Tsavo Lion Study"
1442787,true,2002-05-07 12:03:00.000,38.90191833,-3.86061,"33.06",,"gps","Panthera leo","#346658","Romeo","Tsavo Lion Study"
1442788,true,2002-05-07 19:03:00.000,38.88739667,-3.85182667,"31.56",,"gps","Panthera leo","#346658","Romeo","Tsavo Lion Study"
1442789,true,2002-05-08 02:03:00.000,38.92946333,-3.79961667,"33.75",,"gps","Panthera leo","#346658","Romeo","Tsavo Lion Study"
1442790,true,2002-05-08 17:03:00.000,38.94027167,-3.79353667,"32.88",,"gps","Panthera leo","#346658","Romeo","Tsavo Lion Study"
1442791,true,2002-05-08 23:03:00.000,38.88732833,-3.85227333,"31.88",,"gps","Panthera leo","#346658","Romeo","Tsavo Lion Study"
1442792,true,2002-05-09 13:03:00.000,38.871845,-3.85364,"29.5",,"gps","Panthera leo","#346658","Romeo","Tsavo Lion Study"
1442793,true,2002-05-09 21:03:00.000,38.943955,-3.794645,"32.06",,"gps","Panthera leo","#346658","Romeo","Tsavo Lion Study"
1442794,true,2002-05-10 03:03:00.000,38.89765667,-3.83986833,"31.44",,"gps","Panthera leo","#346658","Romeo","Tsavo Lion Study"
1442795,true,2002-05-10 10:03:00.000,38.88889833,-3.84641,"36.06",,"gps","Panthera leo","#346658","Romeo","Tsavo Lion Study"
1442796,true,2002-05-10 17:03:00.000,38.870025,-3.86276833,"29.06",,"gps","Panthera leo","#346658","Romeo","Tsavo Lion Study"
1442797,true,2002-05-11 00:03:00.000,38.85860167,-3.81106333,"27.19",,"gps","Panthera leo","#346658","Romeo","Tsavo Lion Study"
1442798,true,2002-05-11 07:03:00.000,38.88291333,-3.80013167,"34.88",,"gps","Panthera leo","#346658","Romeo","Tsavo Lion Study"
1442799,true,2002-05-11 14:03:00.000,38.89012,-3.79102,"32.06",,"gps","Panthera leo","#346658","Romeo","Tsavo Lion Study"
1442800,true,2002-05-11 21:03:00.000,38.91660333,-3.84235667,"27.06",,"gps","Panthera leo","#346658","Romeo","Tsavo Lion Study"
1442801,true,2002-05-12 04:03:00.000,39.00250167,-3.76275333,"33.94",,"gps","Panthera leo","#346658","Romeo","Tsavo Lion Study"
1442802,true,2002-05-12 11:03:00.000,39.00408,-3.766455,"33.25",,"gps","Panthera leo","#346658","Romeo","Tsavo Lion Study"
1442803,true,2002-05-12 18:03:00.000,38.971035,-3.72052333,"33.38",,"gps","Panthera leo","#346658","Romeo","Tsavo Lion Study"
1442804,true,2002-05-13 01:04:00.000,38.96925667,-3.721925,"31",,"gps","Panthera leo","#346658","Romeo","Tsavo Lion Study"
1442805,true,2002-05-13 08:04:00.000,38.96916,-3.72183,"37.19",,"gps","Panthera leo","#346658","Romeo","Tsavo Lion Study"
1442806,true,2002-05-13 15:03:00.000,38.96919333,-3.721495,"33.56",,"gps","Panthera leo","#346658","Romeo","Tsavo Lion Study"
1442807,true,2002-05-13 23:03:00.000,38.96916,-3.721815,"34.06",,"gps","Panthera leo","#346658","Romeo","Tsavo Lion Study"
1442808,true,2002-05-14 20:03:00.000,38.93092,-3.83525833,"32.81",,"gps","Panthera leo","#346658","Romeo","Tsavo Lion Study"
1442809,true,2002-05-15 03:03:00.000,38.915055,-3.84172,"32.56",,"gps","Panthera leo","#346658","Romeo","Tsavo Lion Study"
1442810,true,2002-05-15 10:03:00.000,38.914725,-3.84148167,"36.13",,"gps","Panthera leo","#346658","Romeo","Tsavo Lion Study"
1442811,true,2002-05-15 16:03:00.000,38.91866167,-3.84092667,"32.38",,"gps","Panthera leo","#346658","Romeo","Tsavo Lion Study"
1442812,true,2002-05-15 23:03:00.000,38.92052667,-3.834145,"31.56",,"gps","Panthera leo","#346658","Romeo","Tsavo Lion Study"
1442813,true,2002-05-16 07:04:00.000,38.90008333,-3.82810167,"36.81",,"gps","Panthera leo","#346658","Romeo","Tsavo Lion Study"
1442814,true,2002-05-16 14:03:00.000,38.90887833,-3.83243833,"31.75",,"gps","Panthera leo","#346658","Romeo","Tsavo Lion Study"
1442815,true,2002-05-16 21:03:00.000,38.90911,-3.83235333,"31.69",,"gps","Panthera leo","#346658","Romeo","Tsavo Lion Study"
1442816,true,2002-05-17 03:03:00.000,38.890945,-3.82019333,"33.56",,"gps","Panthera leo","#346658","Romeo","Tsavo Lion Study"
1442817,true,2002-05-17 10:03:00.000,38.88229333,-3.82937833,"35.25",,"gps","Panthera leo","#346658","Romeo","Tsavo Lion Study"
1442818,true,2002-05-17 17:03:00.000,38.89235167,-3.83599667,"28.06",,"gps","Panthera leo","#346658","Romeo","Tsavo Lion Study"
1442819,true,2002-05-18 00:03:00.000,38.95426167,-3.80822833,"27.19",,"gps","Panthera leo","#346658","Romeo","Tsavo Lion Study"
1442820,true,2002-05-18 07:03:00.000,38.94308667,-3.80175,"35.25",,"gps","Panthera leo","#346658","Romeo","Tsavo Lion Study"
1442821,true,2002-05-18 14:03:00.000,38.9431,-3.80166,"33.56",,"gps","Panthera leo","#346658","Romeo","Tsavo Lion Study"
1442822,true,2002-05-18 21:03:00.000,38.92769167,-3.801265,"30.69",,"gps","Panthera leo","#346658","Romeo","Tsavo Lion Study"
1442823,true,2002-05-19 12:03:00.000,38.88101,-3.834125,"31.13",,"gps","Panthera leo","#346658","Romeo","Tsavo Lion Study"
1442824,true,2002-05-19 18:03:00.000,38.89550833,-3.85198,"27.19",,"gps","Panthera leo","#346658","Romeo","Tsavo Lion Study"
1442825,true,2002-05-20 01:04:00.000,38.87370833,-3.83884,"31.94",,"gps","Panthera leo","#346658","Romeo","Tsavo Lion Study"
1442826,true,2002-05-20 08:03:00.000,38.944995,-3.81903333,"31.75",,"gps","Panthera leo","#346658","Romeo","Tsavo Lion Study"
1442827,true,2002-05-20 15:03:00.000,38.95025167,-3.80272833,"34.56",,"gps","Panthera leo","#346658","Romeo","Tsavo Lion Study"
1442828,true,2002-05-21 05:03:00.000,38.87623833,-3.83816167,"33.38",,"gps","Panthera leo","#346658","Romeo","Tsavo Lion Study"
1442829,true,2002-05-21 12:03:00.000,38.87411833,-3.83600333,"33.63",,"gps","Panthera leo","#346658","Romeo","Tsavo Lion Study"
1442830,true,2002-05-21 20:03:00.000,38.88404833,-3.83134833,"28.88",,"gps","Panthera leo","#346658","Romeo","Tsavo Lion Study"
1442831,true,2002-05-22 02:03:00.000,38.91051,-3.80834667,"31.31",,"gps","Panthera leo","#346658","Romeo","Tsavo Lion Study"
1442832,true,2002-05-22 16:03:00.000,38.93991333,-3.82267833,"30.38",,"gps","Panthera leo","#346658","Romeo","Tsavo Lion Study"
